,Numpy,Numba,mp-5,omp-5,mp-10,omp-10,mp-25,omp-25,mp-50,omp-50,mp-75,omp-75,mp-100,omp-100,mp-128,omp-128
500,0.11601071199402213,3.520830846973695,0.13766975793987513,0.1577428220771253,0.1459437570301816,0.09661999298259616,0.28205054299905896,0.1675112619996071,0.5452765509253368,0.32140214496757835,0.8449890719493851,0.4535452739801258,1.0232362810056657,0.6265782250557095,1.4934353539720178,0.9676130709704012
750,0.39191450201906264,0.027156964992173016,0.21292810700833797,0.15675984497647732,0.3959487499669194,0.17234539706259966,0.7217229279922321,0.2605460090562701,1.185418164008297,0.426208088058047,1.5400708880042657,0.6499572029570118,2.0921153489034623,0.8432558790082112,2.4113286080537364,1.0437643479090184
1000,1.162879842100665,0.034632188035175204,0.5813763909973204,0.4118797649862245,0.844505667919293,0.5605874810134992,1.4348335530376062,0.7299126570578665,2.284875030978583,0.5850203869631514,2.835172949009575,0.7159596160054207,4.256609525997192,0.8829527639318258,5.325394922983833,1.0560910160420462
2000,16.265692576998845,0.6594887609826401,5.715395880979486,10.809902918059379,7.582666075904854,10.809521715040319,7.172268223017454,6.397842564038001,11.037035915069282,3.986869029002264,14.270160067942925,4.978332343045622,18.85641241504345,4.289192321943119,21.001494903932326,4.142219224944711
3000,106.09931650105864,4.03256210393738,24.202048189006746,27.738913399982266,15.452697506989352,19.879129867069423,16.22421935002785,14.90077803900931,27.7655541599961,13.943448473000899,39.258813551976345,12.24416623194702,47.628625407931395,11.886111752013676,61.42859193403274,11.636306643951684
4000,257.62751949601807,15.178899286082014,55.22063702403102,70.73680962796789,34.2662643349031,52.67834982997738,29.506796809961088,41.07192858401686,48.830894878017716,35.83564386796206,66.41304217197467,30.96988386590965,88.80175756290555,29.902540692011826,108.75989345298149,29.204520609928295
5000,473.28443665697705,35.97455780999735,109.39135252102278,137.63115338003263,61.632717881933786,109.96715613501146,47.002876754966564,81.34533528296743,75.2485826179618,71.27593051397707,105.15015054296236,68.97443482407834,133.3407725120196,61.052348703029566,166.6886862430256,56.88878169097006
6000,771.7047096139286,67.27195364306681,176.59349384799134,220.62764948711265,111.88218238006812,186.85435416304972,69.99161551904399,148.7849203859223,111.47494155995082,124.87087165401317,154.21108392102178,108.00370500597637,199.11343370890245,108.21226313896477,242.32556193694472,107.94904186204076
7000,1320.5832040699897,102.12606201996095,275.76723719993606,322.6627902169712,168.7172233919846,248.1970158580225,102.34356678999029,193.19991140207276,155.6016969800694,157.2939512230223,209.42453927302267,139.02270017995033,262.0221385769546,119.13441278401297,330.99172835901845,106.62826892104931
8000,1853.7213352689287,140.66024981311057,411.45841984206345,495.1153928459389,241.47103757201694,342.2937865789281,144.26023740507662,254.4583514869446,203.46947785909288,212.39379113400355,275.5532740460476,168.2530511270743,348.5501823540544,157.2050375440158,433.03034637705423,161.7122621840099
9000,2694.395837149932,151.97223671607208,557.1409752339823,569.3649366929894,318.4800771649461,367.80011715495493,194.98341594298836,268.0221575010801,270.07051879900973,241.91123701096512,350.50286624999717,198.2623824889306,435.9372946280055,193.81576120504178,529.5703629400814,198.5145339120645
10000,3426.1811446560314,211.0991002320079,743.5018090980593,774.586413617013,450.0675538200885,471.7055469589541,268.45310535503086,381.9917066239286,342.9647924489109,356.3680037490558,438.0687089409912,306.5197483060183,,,,
